customer_id,first_purchase,last_purchase,total_orders,total_revenue,avg_order_value,city,rfm_segment,churn_risk
CUS027356,2022-03-02,2022-08-29,2,70825,35412,Hà Nội,Lost,0.776
CUS009243,2023-02-04,2023-05-15,1,189474,189474,TP.HCM,Hibernating,0.746
CUS015534,2020-09-28,2023-02-28,1,162921,162921,TP.HCM,Lost,0.825
CUS004481,2023-11-18,2024-02-16,3,919483,306494,Hà Nội,Potential Loyalists,0.233
CUS004307,2023-10-21,2024-03-09,5,601572,120314,Đà Nẵng,Potential Loyalists,0.196
CUS015069,2021-12-02,2022-11-06,3,89671,29890,TP.HCM,Lost,0.926
CUS013295,2022-02-06,2023-11-21,2,77951,38976,TP.HCM,Hibernating,0.613
CUS025948,2021-09-01,2022-10-20,1,41272,41272,TP.HCM,Lost,0.839
CUS013608,2022-10-06,2023-10-26,5,168113,33623,Đà Nẵng,Hibernating,0.554
CUS010036,2021-08-29,2023-07-08,3,242511,80837,TP.HCM,Hibernating,0.814
CUS005049,2023-04-05,2024-03-06,1,867070,867070,Cần Thơ,Potential Loyalists,0.295
CUS012660,2021-06-14,2023-08-16,1,339254,339254,Hà Nội,Hibernating,0.699
CUS022584,2019-04-27,2022-04-29,2,15806,7903,TP.HCM,Lost,0.924
CUS015005,2019-08-16,2022-08-08,1,52879,52879,Đà Nẵng,Lost,0.711
CUS008356,2022-09-24,2024-01-19,5,217228,43446,TP.HCM,At Risk,0.607
CUS023176,2019-09-28,2023-02-08,1,15604,15604,Hà Nội,Lost,0.833
CUS022114,2021-09-17,2022-06-17,1,182508,182508,TP.HCM,Lost,0.888
CUS008325,2023-03-05,2024-01-14,9,403167,44796,Hà Nội,At Risk,0.429
CUS011400,2022-01-03,2023-05-16,5,571203,114241,TP.HCM,Hibernating,0.651
CUS001088,2022-07-15,2024-03-14,17,2780671,163569,TP.HCM,Champions,0.226
CUS020498,2019-12-02,2022-10-19,2,88652,44326,TP.HCM,Lost,0.839
CUS005622,2023-05-13,2024-02-24,5,334313,66863,TP.HCM,Potential Loyalists,0.415
CUS005287,2023-04-23,2024-02-08,4,1545988,386497,Hà Nội,Potential Loyalists,0.483
CUS026358,2021-09-05,2022-11-30,1,80265,80265,TP.HCM,Lost,0.67
CUS001289,2021-06-18,2024-02-20,7,376743,53820,TP.HCM,Loyal,0.192
CUS025159,2020-01-21,2022-04-14,4,163842,40960,Hà Nội,Lost,0.916
CUS002961,2021-06-15,2024-03-12,11,744432,67676,TP.HCM,Loyal,0.232
CUS026455,2020-05-27,2022-10-20,1,69798,69798,Đà Nẵng,Lost,0.631
CUS004983,2023-12-06,2024-03-02,7,349649,49950,TP.HCM,Potential Loyalists,0.474
CUS000313,2022-05-01,2024-03-14,5,3975189,795038,Hà Nội,Champions,0.121
CUS005557,2023-09-24,2024-03-02,5,242495,48499,TP.HCM,Potential Loyalists,0.446
CUS027361,2019-08-05,2022-08-02,3,52148,17383,TP.HCM,Lost,0.692
CUS022295,2020-02-28,2022-10-28,1,45897,45897,TP.HCM,Lost,0.861
CUS011934,2022-03-23,2023-05-19,1,268691,268691,Hà Nội,Hibernating,0.795
CUS010127,2021-04-25,2023-07-15,1,122401,122401,TP.HCM,Hibernating,0.756
CUS020801,2021-06-20,2022-11-19,1,41541,41541,TP.HCM,Lost,0.704
CUS012365,2022-04-27,2023-05-30,4,160588,40147,Hà Nội,Hibernating,0.63
CUS018398,2022-02-07,2022-08-31,2,23158,11579,TP.HCM,Lost,0.839
CUS015190,2020-05-05,2022-12-15,2,71267,35634,TP.HCM,Lost,0.882
CUS004716,2023-12-26,2024-02-26,5,181459,36292,Hà Nội,Potential Loyalists,0.21
CUS014655,2019-05-27,2022-10-30,3,80386,26795,TP.HCM,Lost,0.842
CUS002465,2021-04-12,2024-03-03,9,328173,36464,TP.HCM,Loyal,0.255
CUS022103,2019-11-20,2022-12-19,3,151645,50548,Hải Phòng,Lost,0.709
CUS024663,2019-09-27,2022-04-28,1,74040,74040,Hà Nội,Lost,0.779
CUS016642,2021-12-27,2023-01-01,1,46277,46277,TP.HCM,Lost,0.889
CUS025582,2019-06-25,2022-06-11,1,42693,42693,Đà Nẵng,Lost,0.476
CUS012377,2021-08-05,2023-09-04,1,121582,121582,TP.HCM,Hibernating,0.559
CUS007407,2023-03-25,2024-01-21,5,558699,111740,TP.HCM,At Risk,0.63
CUS017428,2020-12-02,2022-11-06,2,206767,103384,Hà Nội,Lost,0.772
CUS023882,2021-02-12,2022-11-04,2,33014,16507,Hà Nội,Lost,0.669
CUS019284,2019-05-30,2022-08-29,1,115671,115671,TP.HCM,Lost,0.798
CUS004204,2023-08-13,2024-02-25,2,435342,217671,TP.HCM,Potential Loyalists,0.353
CUS001589,2021-08-15,2024-02-22,14,772390,55171,TP.HCM,Loyal,0.26
CUS014876,2019-05-09,2022-08-13,2,79276,39638,TP.HCM,Lost,0.902
CUS027328,2020-01-03,2022-07-19,1,50078,50078,Hà Nội,Lost,0.922
CUS021691,2019-05-05,2022-10-30,2,24928,12464,Hà Nội,Lost,0.79
CUS004372,2023-08-01,2024-02-12,4,1802719,450680,TP.HCM,Potential Loyalists,0.463
CUS012376,2022-05-06,2023-07-24,1,264522,264522,TP.HCM,Hibernating,0.66
CUS027302,2020-03-22,2023-03-06,1,138106,138106,TP.HCM,Lost,0.99
CUS024320,2022-01-08,2022-07-02,1,71936,71936,TP.HCM,Lost,0.99
CUS005115,2023-05-19,2024-03-09,5,517034,103407,Hà Nội,Potential Loyalists,0.408
CUS006481,2023-05-24,2024-03-10,1,255996,255996,Đà Nẵng,Potential Loyalists,0.166
CUS014659,2020-10-17,2022-11-29,2,35615,17808,Hà Nội,Lost,0.784
CUS020473,2020-04-10,2022-05-06,1,64157,64157,TP.HCM,Lost,0.9
CUS023968,2020-04-28,2022-07-30,2,79306,39653,TP.HCM,Lost,0.729
CUS008517,2022-06-09,2023-11-30,11,743412,67583,TP.HCM,At Risk,0.618
CUS019722,2020-12-05,2023-03-08,1,57837,57837,Hà Nội,Lost,0.802
CUS010164,2021-11-11,2023-05-19,1,457633,457633,Hà Nội,Hibernating,0.752
CUS026825,2019-05-25,2023-01-16,2,58495,29248,TP.HCM,Lost,0.823
CUS016872,2020-08-16,2023-03-25,3,50484,16828,TP.HCM,Lost,0.984
CUS021413,2020-12-10,2022-11-15,4,92000,23000,TP.HCM,Lost,0.706
CUS008359,2023-09-29,2024-01-14,8,336897,42112,Đà Nẵng,At Risk,0.582
CUS020949,2020-07-06,2022-04-20,1,52996,52996,TP.HCM,Lost,0.985
CUS006949,2023-05-01,2024-02-15,4,638692,159673,TP.HCM,Potential Loyalists,0.42
CUS027332,2021-06-16,2022-08-31,2,188263,94132,Cần Thơ,Lost,0.936
CUS020391,2021-02-07,2022-11-27,1,168680,168680,TP.HCM,Lost,0.751
CUS006378,2023-07-20,2024-03-05,2,291575,145788,Hà Nội,Potential Loyalists,0.239
CUS014156,2021-10-28,2022-08-28,1,72188,72188,TP.HCM,Lost,0.8
CUS026267,2021-12-21,2022-07-04,2,172095,86048,Đà Nẵng,Lost,0.837
CUS006166,2024-01-10,2024-02-13,4,486364,121591,TP.HCM,Potential Loyalists,0.498
CUS005199,2023-11-20,2024-02-12,4,559342,139836,Hà Nội,Potential Loyalists,0.257
CUS011027,2023-01-13,2023-03-30,2,300540,150270,Hà Nội,Hibernating,0.706
CUS013192,2022-05-17,2023-08-16,2,71425,35712,TP.HCM,Hibernating,0.606
CUS008266,2023-08-22,2023-12-10,4,754992,188748,Đà Nẵng,At Risk,0.529
CUS011728,2021-05-09,2023-04-08,1,207888,207888,Hà Nội,Hibernating,0.784
CUS002533,2022-06-23,2024-03-01,9,1053777,117086,Hải Phòng,Loyal,0.077
CUS026277,2019-07-22,2023-02-05,2,36840,18420,Hải Phòng,Lost,0.647
CUS003309,2022-11-27,2024-03-12,8,321021,40128,Hà Nội,Loyal,0.212
CUS000274,2022-12-23,2024-03-15,7,2185919,312274,TP.HCM,Champions,0.113
CUS020189,2019-05-27,2022-11-16,1,75941,75941,TP.HCM,Lost,0.879
CUS006771,2024-01-27,2024-02-02,5,547876,109575,TP.HCM,Potential Loyalists,0.551
CUS012236,2022-01-07,2023-11-09,5,530414,106083,Hà Nội,Hibernating,0.705
CUS027526,2021-03-20,2023-03-06,2,113590,56795,TP.HCM,Lost,0.681
CUS019194,2019-08-21,2022-04-09,1,23558,23558,TP.HCM,Lost,0.745
CUS020441,2022-02-27,2022-10-23,1,123237,123237,Hà Nội,Lost,0.927
CUS025643,2022-03-18,2022-10-20,2,49737,24868,TP.HCM,Lost,0.83
CUS011377,2022-02-22,2023-04-06,6,355999,59333,TP.HCM,Hibernating,0.846
CUS006893,2023-07-30,2024-02-16,1,848618,848618,TP.HCM,Potential Loyalists,0.24
CUS009196,2022-05-14,2023-08-05,4,366948,91737,TP.HCM,Hibernating,0.583
CUS022024,2022-03-20,2023-03-29,1,79616,79616,TP.HCM,Lost,0.755
CUS017670,2020-02-10,2022-07-30,1,55646,55646,Hà Nội,Lost,0.918
CUS018015,2019-10-09,2022-05-13,1,153907,153907,TP.HCM,Lost,0.99
CUS005747,2024-01-14,2024-03-02,4,414561,103640,TP.HCM,Potential Loyalists,0.498
CUS019685,2020-01-04,2022-08-22,2,53497,26748,Cần Thơ,Lost,0.664
CUS008239,2023-06-12,2023-11-30,8,748334,93542,Hà Nội,At Risk,0.375
CUS004750,2023-11-04,2024-02-05,4,1460477,365119,TP.HCM,Potential Loyalists,0.586
CUS026332,2020-02-25,2022-09-13,1,58259,58259,TP.HCM,Lost,0.99
CUS026071,2020-03-25,2022-11-10,3,94144,31381,TP.HCM,Lost,0.858
CUS014505,2020-07-06,2022-06-27,2,23364,11682,TP.HCM,Lost,0.856
CUS026860,2019-12-30,2023-03-29,3,180208,60069,Hà Nội,Lost,0.891
CUS025227,2021-08-04,2022-04-19,2,94670,47335,Đà Nẵng,Lost,0.804
CUS016597,2019-07-01,2023-01-12,1,44270,44270,TP.HCM,Lost,0.915
CUS023684,2021-01-11,2023-01-01,2,84259,42130,TP.HCM,Lost,0.952
CUS001661,2022-02-15,2024-02-23,3,1103609,367870,Cần Thơ,Loyal,0.136
CUS014013,2019-04-11,2022-11-26,1,31914,31914,TP.HCM,Lost,0.883
CUS010985,2022-10-14,2023-11-17,1,527394,527394,TP.HCM,Hibernating,0.609
CUS009318,2021-11-21,2023-07-24,1,420062,420062,TP.HCM,Hibernating,0.966
CUS001513,2022-02-15,2024-02-15,6,3207851,534642,TP.HCM,Loyal,0.239
CUS005285,2023-09-27,2024-02-20,1,360149,360149,TP.HCM,Potential Loyalists,0.384
CUS005805,2023-10-01,2024-02-16,4,241113,60278,Hà Nội,Potential Loyalists,0.335
CUS011816,2023-01-31,2023-10-09,1,226726,226726,Hà Nội,Hibernating,0.663
CUS002317,2022-03-12,2024-03-03,12,1505909,125492,TP.HCM,Loyal,0.068
CUS017881,2020-05-08,2022-07-05,2,123544,61772,Cần Thơ,Lost,0.59
CUS020760,2020-08-25,2023-02-02,1,33598,33598,TP.HCM,Lost,0.869
CUS015231,2022-02-10,2023-01-26,1,40038,40038,TP.HCM,Lost,0.99
CUS016603,2021-04-21,2022-11-17,1,57706,57706,TP.HCM,Lost,0.914
CUS008833,2023-04-30,2024-01-15,1,388410,388410,TP.HCM,At Risk,0.798
CUS027254,2020-07-05,2022-09-11,1,63446,63446,TP.HCM,Lost,0.99
CUS025694,2019-07-10,2022-08-28,1,126091,126091,TP.HCM,Lost,0.823
CUS023683,2020-08-16,2022-06-01,2,34927,17464,TP.HCM,Lost,0.682
CUS022751,2019-08-12,2023-02-28,2,67699,33850,TP.HCM,Lost,0.801
CUS019075,2021-12-06,2023-03-17,2,108590,54295,Hà Nội,Lost,0.656
CUS024091,2020-08-01,2022-08-18,3,45458,15153,TP.HCM,Lost,0.895
CUS020786,2019-05-16,2022-09-26,2,69527,34764,Hải Phòng,Lost,0.721
CUS009428,2022-12-16,2023-04-23,6,272620,45437,TP.HCM,Hibernating,0.833
CUS018898,2019-07-03,2022-10-12,2,71868,35934,Đà Nẵng,Lost,0.816
CUS018055,2019-12-01,2023-01-25,2,76278,38139,TP.HCM,Lost,0.99
CUS001428,2021-06-11,2024-03-21,14,209662,14976,Hà Nội,Loyal,0.14
CUS001449,2021-12-29,2024-02-21,14,530665,37905,TP.HCM,Loyal,0.23
CUS003548,2022-10-01,2024-03-09,15,832483,55499,Hà Nội,Loyal,0.267
CUS003442,2021-10-09,2024-03-05,9,778837,86537,Hà Nội,Loyal,0.283
CUS018248,2020-06-26,2023-01-17,2,69370,34685,Đà Nẵng,Lost,0.68
CUS010445,2021-10-20,2023-10-02,2,328428,164214,Đà Nẵng,Hibernating,0.455
CUS015233,2022-02-12,2022-10-20,1,51566,51566,Hải Phòng,Lost,0.507
CUS025633,2021-10-05,2022-09-27,2,87992,43996,TP.HCM,Lost,0.774
CUS004885,2023-09-26,2024-03-04,1,579781,579781,Đà Nẵng,Potential Loyalists,0.26
CUS023268,2020-07-08,2022-10-23,2,30646,15323,TP.HCM,Lost,0.78
CUS007947,2023-05-18,2024-01-09,4,1552844,388211,Đà Nẵng,At Risk,0.359
CUS015971,2021-04-02,2022-06-19,2,74579,37290,TP.HCM,Lost,0.665
CUS021746,2019-05-31,2022-11-14,1,46302,46302,Cần Thơ,Lost,0.737
CUS023278,2021-04-22,2022-12-10,1,46356,46356,TP.HCM,Lost,0.896
CUS020365,2021-08-02,2022-09-26,2,145155,72578,TP.HCM,Lost,0.809
CUS002852,2022-01-11,2024-03-08,15,472556,31504,Hà Nội,Loyal,0.167
CUS020871,2020-02-07,2023-01-27,1,45488,45488,Hà Nội,Lost,0.631
CUS017453,2020-07-25,2023-03-06,2,45314,22657,TP.HCM,Lost,0.732
CUS021873,2020-10-01,2022-06-10,2,135608,67804,TP.HCM,Lost,0.99
CUS026471,2019-04-30,2022-07-09,3,103094,34365,TP.HCM,Lost,0.917
CUS019111,2019-08-04,2022-05-06,1,81809,81809,TP.HCM,Lost,0.761
CUS008938,2023-09-07,2023-12-28,8,457558,57195,Đà Nẵng,At Risk,0.335
CUS001458,2022-05-29,2024-03-08,12,1152858,96072,TP.HCM,Loyal,0.419
CUS013729,2022-04-20,2023-06-17,1,215570,215570,TP.HCM,Hibernating,0.63
CUS006128,2023-09-30,2024-03-03,9,391811,43535,TP.HCM,Potential Loyalists,0.409
CUS022561,2021-01-18,2022-12-05,2,39031,19516,TP.HCM,Lost,0.9
CUS000506,2022-10-25,2024-03-20,4,908508,227127,TP.HCM,Champions,0.075
CUS000912,2023-05-07,2024-03-23,31,1147613,37020,TP.HCM,Champions,0.119
CUS026118,2021-06-13,2022-07-17,3,31617,10539,TP.HCM,Lost,0.805
CUS027350,2019-10-25,2022-07-19,3,22563,7521,TP.HCM,Lost,0.897
CUS009565,2021-09-10,2023-08-27,3,184483,61494,Hà Nội,Hibernating,0.643
CUS027896,2019-12-04,2023-01-16,2,201242,100621,Hà Nội,Lost,0.722
CUS020416,2019-06-13,2022-10-19,1,201516,201516,TP.HCM,Lost,0.859
CUS018492,2022-01-04,2022-08-08,1,50239,50239,TP.HCM,Lost,0.658
CUS005733,2024-01-12,2024-02-07,3,753193,251064,Hà Nội,Potential Loyalists,0.426
CUS021386,2022-03-19,2022-06-08,3,27002,9001,TP.HCM,Lost,0.936
CUS012637,2021-07-13,2023-08-26,1,621568,621568,Cần Thơ,Hibernating,0.484
CUS013406,2021-04-01,2023-07-25,7,256103,36586,Hà Nội,Hibernating,0.676
CUS026806,2019-10-13,2022-07-27,1,50922,50922,TP.HCM,Lost,0.99
CUS012579,2021-10-19,2023-03-30,1,401435,401435,TP.HCM,Hibernating,0.652
CUS004195,2023-11-28,2024-03-03,4,617999,154500,Hà Nội,Potential Loyalists,0.207
CUS013942,2021-05-15,2023-04-05,4,290858,72714,TP.HCM,Hibernating,0.492
CUS003821,2022-11-02,2024-03-01,11,1167427,106130,TP.HCM,Loyal,0.135
CUS020130,2020-10-14,2022-06-20,2,95931,47966,TP.HCM,Lost,0.763
CUS019865,2019-09-01,2022-04-13,1,83571,83571,TP.HCM,Lost,0.99
CUS002508,2021-10-21,2024-03-13,11,631161,57378,Hà Nội,Loyal,0.299
CUS013873,2022-06-04,2023-09-11,3,293949,97983,TP.HCM,Hibernating,0.802
CUS026429,2020-08-31,2023-03-07,1,88352,88352,TP.HCM,Lost,0.754
CUS010088,2021-08-16,2023-03-31,1,234572,234572,Hà Nội,Hibernating,0.47
CUS021598,2021-12-17,2023-01-08,1,55759,55759,TP.HCM,Lost,0.922
CUS018375,2020-08-14,2023-02-17,1,96429,96429,TP.HCM,Lost,0.85
CUS009454,2021-06-26,2023-04-10,1,406715,406715,Hải Phòng,Hibernating,0.459
CUS006731,2023-08-18,2024-02-18,2,890346,445173,TP.HCM,Potential Loyalists,0.323
CUS014508,2020-07-30,2022-05-18,3,143273,47758,Hà Nội,Lost,0.847
CUS016624,2020-03-31,2022-08-31,2,187774,93887,TP.HCM,Lost,0.824
CUS025984,2022-01-18,2022-09-25,2,37973,18986,Hà Nội,Lost,0.715
CUS023369,2021-08-12,2023-02-12,2,34440,17220,TP.HCM,Lost,0.83
CUS006743,2023-09-29,2024-02-13,5,548541,109708,TP.HCM,Potential Loyalists,0.472
CUS015954,2022-01-25,2022-10-15,2,47088,23544,Hà Nội,Lost,0.698
CUS005573,2024-01-12,2024-03-05,5,529578,105916,Hà Nội,Potential Loyalists,0.368
CUS021264,2019-11-08,2023-03-08,1,70182,70182,Hà Nội,Lost,0.99
CUS009630,2023-03-27,2023-09-26,2,449891,224946,TP.HCM,Hibernating,0.351
CUS012903,2021-09-14,2023-07-30,4,161487,40372,Hà Nội,Hibernating,0.595
CUS001445,2021-12-31,2024-03-13,14,584035,41717,TP.HCM,Loyal,0.305
CUS021570,2020-08-05,2023-02-25,2,74648,37324,TP.HCM,Lost,0.986
CUS004417,2023-04-18,2024-03-06,4,472173,118043,TP.HCM,Potential Loyalists,0.59
CUS013627,2022-03-20,2023-11-20,5,196568,39314,Hà Nội,Hibernating,0.661
CUS023687,2022-01-05,2022-12-06,2,61243,30622,TP.HCM,Lost,0.731
